event_id,family_id,format,construct,membership,metric,pairs,mean,positive_fraction
a1r_2019,a1r,deliberative_poll,policy,paired,d_combined,0,NA,NA
a1r_2019,a1r,deliberative_poll,policy,paired,d_education,0,NA,NA
a1r_2019,a1r,deliberative_poll,policy,paired,d_gender,1853,0.006968575587032138,0.5018888289260658
a1r_2019,a1r,deliberative_poll,policy,paired,d_income,0,NA,NA
a1r_2019,a1r,deliberative_poll,policy,paired,h,1880,0.034405451603256525,0.6930851063829787
a1r_2019,a1r,deliberative_poll,policy,paired,p,1854,0.014421923665451204,0.5814455231930961
a1r_2019,a1r,deliberative_poll,policy,paired,p_absolute,1880,0.0470754011059862,0.674468085106383
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,d_combined,173,0.008568661588892813,0.5144508670520231
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,d_education,272,0.018246086801990784,0.6066176470588235
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,d_gender,295,-0.0026551594522681225,0.4610169491525424
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,d_income,281,0.011597010146832204,0.5409252669039146
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,h,300,0.0357740462942074,0.7
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,p,295,0.03887349561925832,0.7050847457627119
a1r_climate_2021,a1r,deliberative_poll,environmental_concern,paired,p_absolute,300,0.050779379879379874,0.7533333333333333
a1r_climate_2021,a1r,deliberative_poll,policy,paired,d_combined,3607,0.005752405363843102,0.4904352647629609
a1r_climate_2021,a1r,deliberative_poll,policy,paired,d_education,5649,0.009565510236295248,0.5169056470171712
a1r_climate_2021,a1r,deliberative_poll,policy,paired,d_gender,6073,0.0015393747108860966,0.4773588012514408
a1r_climate_2021,a1r,deliberative_poll,policy,paired,d_income,5995,0.004912195993292956,0.48940783986655545
a1r_climate_2021,a1r,deliberative_poll,policy,paired,h,6291,0.030793253156004837,0.6515657288189477
a1r_climate_2021,a1r,deliberative_poll,policy,paired,p,6208,0.02685085381831047,0.6230670103092784
a1r_climate_2021,a1r,deliberative_poll,policy,paired,p_absolute,6291,0.040898065496932194,0.6641233508186298
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,d_combined,228,0.015237690657582294,0.5263157894736842
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,d_education,361,0.018660498496126644,0.556786703601108
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,d_gender,384,0.0025106658430417658,0.4322916666666667
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,d_income,376,0.009161059854309223,0.5186170212765957
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,h,396,0.04479220898659126,0.7373737373737373
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,p,395,0.049640426401595404,0.7493670886075949
a1r_climate_2021,a1r,deliberative_poll,climate_belief,paired,p_absolute,396,0.0502766558843876,0.7525252525252525
celaya_10,celaya_2018,facilitated_discussion,policy,paired,d_combined,0,NA,NA
celaya_10,celaya_2018,facilitated_discussion,policy,paired,d_education,8,-0.029166666666666664,0.25
celaya_10,celaya_2018,facilitated_discussion,policy,paired,d_gender,8,-0.058333333333333334,0.25
celaya_10,celaya_2018,facilitated_discussion,policy,paired,d_income,8,-0.02232142857142856,0.375
celaya_10,celaya_2018,facilitated_discussion,policy,paired,h,8,-0.009909485868279574,0.375
celaya_10,celaya_2018,facilitated_discussion,policy,paired,p,8,-0.07083333333333333,0.125
celaya_10,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,-0.029166666666666688,0.375
celaya_12,celaya_2018,facilitated_discussion,policy,paired,d_combined,0,NA,NA
celaya_12,celaya_2018,facilitated_discussion,policy,paired,d_education,6,-0.002976190476190456,0.3333333333333333
celaya_12,celaya_2018,facilitated_discussion,policy,paired,d_gender,8,-1.5612511283791264e-17,0.375
celaya_12,celaya_2018,facilitated_discussion,policy,paired,d_income,5,0.014285714285714285,0.6
celaya_12,celaya_2018,facilitated_discussion,policy,paired,h,8,-0.03291979910762337,0
celaya_12,celaya_2018,facilitated_discussion,policy,paired,p,8,-0.040178571428571425,0.25
celaya_12,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,-0.031249999999999993,0.25
celaya_13,celaya_2018,facilitated_discussion,policy,paired,d_combined,8,-0.04583333333333332,0.25
celaya_13,celaya_2018,facilitated_discussion,policy,paired,d_education,7,-0.03333333333333333,0.42857142857142855
celaya_13,celaya_2018,facilitated_discussion,policy,paired,d_gender,8,-0.0125,0.375
celaya_13,celaya_2018,facilitated_discussion,policy,paired,d_income,8,-0.025,0.5
celaya_13,celaya_2018,facilitated_discussion,policy,paired,h,8,-0.04479724042355222,0.25
celaya_13,celaya_2018,facilitated_discussion,policy,paired,p,8,-0.008333333333333312,0.375
celaya_13,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,0.008333333333333347,0.375
celaya_2,celaya_2018,facilitated_discussion,policy,paired,d_combined,7,0.023809523809523815,0.5714285714285714
celaya_2,celaya_2018,facilitated_discussion,policy,paired,d_education,8,-0.027083333333333348,0.25
celaya_2,celaya_2018,facilitated_discussion,policy,paired,d_gender,8,0.014583333333333354,0.625
celaya_2,celaya_2018,facilitated_discussion,policy,paired,d_income,8,-0.01874999999999999,0.375
celaya_2,celaya_2018,facilitated_discussion,policy,paired,h,8,-0.009676218283182915,0.25
celaya_2,celaya_2018,facilitated_discussion,policy,paired,p,7,-0.023809523809523815,0.42857142857142855
celaya_2,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,-0.014583333333333347,0.5
celaya_4,celaya_2018,facilitated_discussion,policy,paired,d_combined,0,NA,NA
celaya_4,celaya_2018,facilitated_discussion,policy,paired,d_education,8,-0.002083333333333326,0.25
celaya_4,celaya_2018,facilitated_discussion,policy,paired,d_gender,8,-0.010416666666666657,0.375
celaya_4,celaya_2018,facilitated_discussion,policy,paired,d_income,8,-0.002083333333333326,0.25
celaya_4,celaya_2018,facilitated_discussion,policy,paired,h,8,-0.016176541829200225,0.25
celaya_4,celaya_2018,facilitated_discussion,policy,paired,p,8,-0.014583333333333351,0.25
celaya_4,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,-0.0062500000000000125,0.25
celaya_5,celaya_2018,facilitated_discussion,policy,paired,d_combined,8,-0.014583333333333323,0.375
celaya_5,celaya_2018,facilitated_discussion,policy,paired,d_education,8,-0.02291666666666668,0.375
celaya_5,celaya_2018,facilitated_discussion,policy,paired,d_gender,8,-0.0020833333333333355,0.375
celaya_5,celaya_2018,facilitated_discussion,policy,paired,d_income,8,-0.027083333333333334,0.375
celaya_5,celaya_2018,facilitated_discussion,policy,paired,h,8,0.024396863427978144,0.875
celaya_5,celaya_2018,facilitated_discussion,policy,paired,p,8,-0.043750000000000004,0.25
celaya_5,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,-0.022916666666666675,0.375
celaya_7,celaya_2018,facilitated_discussion,policy,paired,d_combined,7,-0.016666666666666656,0.2857142857142857
celaya_7,celaya_2018,facilitated_discussion,policy,paired,d_education,7,-0.009523809523809525,0.42857142857142855
celaya_7,celaya_2018,facilitated_discussion,policy,paired,d_gender,6,-0.005555555555555539,0.5
celaya_7,celaya_2018,facilitated_discussion,policy,paired,d_income,8,-0.025,0.125
celaya_7,celaya_2018,facilitated_discussion,policy,paired,h,8,-0.01619544506010223,0.375
celaya_7,celaya_2018,facilitated_discussion,policy,paired,p,6,-0.005555555555555557,0.3333333333333333
celaya_7,celaya_2018,facilitated_discussion,policy,paired,p_absolute,8,0.00416666666666668,0.5
consensus_1,consensus,classroom_discussion,policy,paired,d_combined,0,NA,NA
consensus_1,consensus,classroom_discussion,policy,paired,d_education,0,NA,NA
consensus_1,consensus,classroom_discussion,policy,paired,d_gender,12,-0.07222222222222223,0.16666666666666666
consensus_1,consensus,classroom_discussion,policy,paired,d_income,0,NA,NA
consensus_1,consensus,classroom_discussion,policy,paired,h,12,0.04793417710325914,0.6666666666666666
consensus_1,consensus,classroom_discussion,policy,paired,p,0,NA,NA
consensus_1,consensus,classroom_discussion,policy,paired,p_absolute,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,d_combined,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,d_education,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,d_gender,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,d_income,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,h,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,p,0,NA,NA
consensus_2,consensus,laboratory_discussion,policy,paired,p_absolute,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,d_combined,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,d_education,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,d_gender,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,d_income,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,h,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,p,0,NA,NA
cross_party_2021,cross_party_2021,dyadic_cross_party,affect,paired,p_absolute,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,d_combined,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,d_education,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,d_gender,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,d_income,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,h,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,p,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,policy,paired,p_absolute,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,d_combined,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,d_education,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,d_gender,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,d_income,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,h,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,p,0,NA,NA
diplomacy_control,diplomacy_2020,triadic_unstructured_discussion,social_judgment,paired,p_absolute,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,d_combined,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,d_education,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,d_gender,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,d_income,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,h,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,p,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,policy,paired,p_absolute,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,d_combined,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,d_education,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,d_gender,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,d_income,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,h,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,p,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,p_absolute,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,d_combined,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,d_education,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,d_gender,56,0.0011352040816326565,0.5178571428571429
echo_con,echo_2021,partisan_discussion,policy,paired,d_income,0,NA,NA
