study_id,study_label,panel_label,format,construct,membership,metric,pairs,mean,positive_fraction,zero_fraction,mean_absolute
original,Corrected original,Corrected original,original,policy,available,h,2480,0.012849354473943484,0.5858870967741936,0.018548387096774192,0.052107200419463755
original,Corrected original,Corrected original,original,policy,available,p,2431,-0.022210725585501453,0.4397367338543809,0.03126285479226656,0.08866743425605338
original,Corrected original,Corrected original,original,policy,available,d_gender,2436,0.0017542999619123444,0.47126436781609193,0.029967159277504107,0.08888636510526712
original,Corrected original,Corrected original,original,policy,available,d_education,2385,0.010042515830050875,0.5232704402515723,0.03018867924528302,0.08964404482091187
original,Corrected original,Corrected original,original,policy,available,d_income,1144,0.0015062635914549556,0.5052447552447552,0.011363636363636364,0.09566267671421898
original,Corrected original,Corrected original,original,policy,available,d_combined,983,0.012851849946904416,0.5188199389623601,0.011190233977619531,0.09456870557144638
original,Corrected original,Corrected original,original,policy,available,p_absolute,2480,0.008838345608620544,0.5157258064516129,0.03387096774193549,0.0750645273329038
original,Corrected original,Corrected original,original,policy,paired,h,2480,0.012289850724591189,0.5741935483870968,0.031451612903225803,0.05288305920513015
original,Corrected original,Corrected original,original,policy,paired,p,2434,-0.022365708624233774,0.42769104354971244,0.049301561216105176,0.08826705291831259
original,Corrected original,Corrected original,original,policy,paired,d_gender,2433,0.0019169913027719183,0.46280312371557747,0.04808877928483354,0.08853837254384608
original,Corrected original,Corrected original,original,policy,paired,d_education,2383,0.01107427032423586,0.5119597146454049,0.04699958036088964,0.08943973950740071
original,Corrected original,Corrected original,original,policy,paired,d_income,1135,0.002937421993993166,0.4995594713656388,0.029955947136563875,0.09466623211572743
original,Corrected original,Corrected original,original,policy,paired,d_combined,972,0.013983383950957108,0.5216049382716049,0.0257201646090535,0.09470754242586867
original,Corrected original,Corrected original,original,policy,paired,p_absolute,2480,0.007890874242023347,0.5016129032258064,0.05524193548387097,0.07486099980599122
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,h,1880,0.03525434660561116,0.699468085106383,0,0.062408361258391484
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,p,1857,0.012982148812116515,0.5901992460958535,0.015616585891222402,0.10151502501865992
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,d_gender,1858,0.005919640923004756,0.5053821313240043,0.015608180839612486,0.10223061063144487
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,d_education,0,NA,NA,NA,NA
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,d_income,0,NA,NA,NA,NA
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,d_combined,0,NA,NA,NA,NA
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,available,p_absolute,1880,0.04539137008086478,0.6803191489361702,0.01702127659574468,0.08900900097243182
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,h,1880,0.034405451603256525,0.6930851063829787,0.0026595744680851063,0.06226242839791623
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,p,1854,0.014421923665451204,0.5814455231930961,0.024271844660194174,0.10166153740182866
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,d_gender,1853,0.006968575587032138,0.5018888289260658,0.024284943335132217,0.10257589160854137
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,d_education,0,NA,NA,NA,NA
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,d_income,0,NA,NA,NA,NA
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,d_combined,0,NA,NA,NA,NA
a1r_2019,A1R 2019,A1R 2019,deliberative_poll,policy,paired,p_absolute,1880,0.0470754011059862,0.674468085106383,0.027659574468085105,0.08937630115156711
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,h,1982,0.017410601544338725,0.5105953582240161,0.026236125126135216,0.09219995643283135
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,p,1846,-0.017210865230231416,0.4647887323943662,0.04983748645720477,0.12620888012613363
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,d_gender,1103,0.007784072102975074,0.4913871260199456,0.05258386219401632,0.13688511360202205
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,d_education,1697,0.004829048545901824,0.5008839127872716,0.040070713022981735,0.13082792526664064
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,d_income,1690,0.009912896932127714,0.493491124260355,0.05207100591715976,0.13522249118402965
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,d_combined,520,0.011796016483516466,0.5038461538461538,0.04423076923076923,0.13695436507936506
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,available,p_absolute,1998,0.03806970300025858,0.5835835835835835,0.06456456456456457,0.1086595659512326
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,h,1937,0.008476485300053646,0.4434692823954569,0.1254517294785751,0.08815548629387697
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,p,1827,-0.019434724720028523,0.39299397920087575,0.16694033935413247,0.11431715406469103
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,d_gender,969,0.005135694628728641,0.4324045407636739,0.15789473684210525,0.11570685291660522
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,d_education,1493,0.0025259411645881737,0.44608171466845276,0.14333556597454788,0.11438498708257581
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,d_income,1486,0.005872601956888649,0.4407806191117093,0.1601615074024226,0.11778150302292296
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,d_combined,397,-0.0044265523169805246,0.4332493702770781,0.15113350125944586,0.11066230858422293
oboe,"Our Budget, Our Economy","Our Budget, Our Economy",town_meeting,policy,paired,p_absolute,1986,0.027521170015505362,0.4874118831822759,0.19385699899295064,0.09701466815326337
hongkong,Hong Kong,Hong Kong: facilitated,facilitated_discussion,policy,available,h,1,-0.14461132959494832,0,0,0.14461132959494832
hongkong,Hong Kong,Hong Kong: facilitated,facilitated_discussion,policy,available,p,1,0,0,1,0
