comparison,construct,membership,metric,family_id,mean,positive_fraction,pairs,studies,remaining_families,mean_without_family
New DPs,policy,paired,d_gender,a1r,0.004103222169032152,0.4884098097260289,8355,2,1,-0.005371478403393306
New DPs,policy,paired,h,a1r,0.032159264141085595,0.6686976239462064,8664,2,1,-0.005110639111677844
New DPs,policy,paired,p,a1r,0.019220831530223192,0.5956588305825724,8580,2,1,-0.03830942401615479
New DPs,policy,paired,p_absolute,a1r,0.04321033034844125,0.6630215883407373,8705,2,1,-0.007626856212570504
New DPs,policy,paired,d_combined,a1r,0.006010000769075889,0.4911177917463788,3659,1,0,NA
New DPs,policy,paired,d_education,a1r,0.00912152330878268,0.5147979029257568,5913,1,0,NA
New DPs,policy,paired,d_income,a1r,0.0049809711521855374,0.48832105345665466,6379,1,0,NA
Other group discussions,policy,paired,d_education,celaya_2018,-0.018612637362637362,0.3269230769230769,52,1,2,0.014807944127267634
Other group discussions,policy,paired,d_gender,celaya_2018,-0.010802469135802469,0.4074074074074074,54,1,5,-0.01124628743770567
Other group discussions,policy,paired,d_income,celaya_2018,-0.01680143755615453,0.3584905660377358,53,1,1,0.00587260195688865
Other group discussions,policy,paired,h,celaya_2018,-0.015039695306280335,0.3392857142857143,56,1,6,0.011368757845357014
Other group discussions,policy,paired,p,celaya_2018,-0.030592991913746634,0.2830188679245283,53,1,6,9.210829741752672e-4
Other group discussions,policy,paired,p_absolute,celaya_2018,-0.013095238095238096,0.375,56,1,6,0.030623689349463246
Other group discussions,policy,paired,d_combined,celaya_2018,-0.014444444444444442,0.36666666666666664,30,1,1,-0.004426552316980524
Other group discussions,policy,paired,d_gender,consensus,-0.01698424796747966,0.33739837398373984,65,2,5,-0.010009931671370232
Other group discussions,policy,paired,h,consensus,0.018042926656092473,0.4170296167247387,138,2,6,0.005854987518294878
Other group discussions,policy,paired,p,consensus,-0.005630630630630633,0.22972972972972974,74,1,6,-0.003239310573010733
Other group discussions,policy,paired,p_absolute,consensus,0.024136178861788617,0.34146341463414637,82,1,6,0.02441845318995879
Other group discussions,affect,paired,h,cross_party_2021,0.018540842206622322,0.48677248677248675,1323,1,1,0.013392173886108857
Other group discussions,affect,paired,p,cross_party_2021,-0.015200320512820498,0.42788461538461536,1248,1,1,-0.08014511873350902
Other group discussions,affect,paired,p_absolute,cross_party_2021,0.01060090702947846,0.5003779289493575,1323,1,1,0.001412429378531017
Other group discussions,affect,paired,d_gender,cross_party_2021,-0.002724358974358953,0.42948717948717946,624,1,0,NA
