"construct","dimension","measure","outcome","estimate","null","se","df","p","conf_low","conf_high","se_two_way","df_two_way","p_two_way","two_way_variance_nonnegative","n_pairs","n_groups","n_issues","n_polls","mean_absolute","proportion_abs_gt_10","proportion_abs_gt_20","leave_one_poll_min","leave_one_poll_max","p_wild_cluster","p_holm_12","p_bh_12","p_bonferroni_12","p_wild_holm_12","p_wild_bh_12"
"Homogenization",NA,"H","homoex",0.0128493544739435,0,0.00311221149494293,13.8595300038354,0.00104400498138317,0.00616797212911314,0.0195307368187738,0.00299973315184693,128,3.5824050362054e-05,TRUE,2480,397,129,21,0.0521072004194638,0.131451612903226,0.0157258064516129,0.0117369669719003,0.0148048136777198,0.0010000100001,0.0114840547952148,0.00626402988829899,0.012528059776598,0.010000100001,0.0040000400004
"Homogenization",NA,"Hb","homofreq",0.585887096774194,0.5,0.0202224326234832,13.8595300038354,0.000830271394219183,0.542473015012845,0.629301178535542,0.0180350743792905,128,5.10073669135413e-06,TRUE,2480,397,129,21,NA,NA,NA,0.575530035335689,0.594418604651162,0.000390003900039,0.00996325673063019,0.00626402988829899,0.00996325673063019,0.004680046800468,0.0040000400004
"Directional polarization",NA,"P","polarex",-0.0222107255855015,0,0.008379700556135,13.9485489880194,0.0190558064808533,-0.0401896172862225,-0.0042318338847805,0.00651101608158624,128,0.000865788774525992,TRUE,2431,397,129,21,0.0886674342560534,0.316742081447964,0.100781571369807,-0.0263008005274021,-0.0177216993427292,0.02150021500215,0.171502258327679,0.0571674194425598,0.228669677770239,0.19350193501935,0.0645006450064501
"Directional polarization",NA,"Pb","polarfreq",0.439736733854381,0.5,0.0406815610683083,13.9485489880194,0.160750123489715,0.352453259252428,0.527020208456334,0.024345537255986,128,0.0146183936299159,TRUE,2431,397,129,21,NA,NA,NA,0.416028815848716,0.471131639722864,0.183921839218392,0.96450074093829,0.275571640268083,1,1,0.297917979179792
"Domination","Gender","D","ext_grp",0.00175429996191233,0,0.00352039543651967,13.9207751201194,0.62603574051083,-0.00580023066433894,0.0093088305881636,0.00321463236351876,128,0.58620591877533,TRUE,2436,396,129,21,0.0888863651052671,0.318144499178982,0.100985221674877,-0.00042785364141318,0.00301212958551055,0.630476304763048,1,0.751242888612996,1,1,0.756571565715657
"Domination","Gender","Db","freqgrp_grp",0.471264367816092,0.5,0.0141952527007765,13.9207751201194,0.0625657877377022,0.44080231512652,0.501726420505664,0.0122680574278733,128,0.0207076057071125,TRUE,2436,396,129,21,NA,NA,NA,0.465435606060606,0.479281767955801,0.0635706357063571,0.500526301901618,0.129195358501704,0.750789452852427,0.4449944499445,0.127141271412714
"Domination","Education","D","ext_grp",0.0100425158300509,0,0.00313244695460156,14.0098249877648,0.00633996623012214,0.00332452729815974,0.016760504361942,0.00352922284713132,128,0.00516480653622737,TRUE,2385,392,129,21,0.0896440448209119,0.325366876310273,0.10314465408805,0.007759033036404,0.0111577433679912,0.000880008800088001,0.0633996623012214,0.0253598649204886,0.0760795947614657,0.00968009680096801,0.0040000400004
"Domination","Education","Db","freqgrp_grp",0.523270440251572,0.5,0.0171456010664876,14.0098249877648,0.196173370360819,0.486499202619651,0.560041677883494,0.0134352434192903,128,0.0856746104966231,TRUE,2385,392,129,21,NA,NA,NA,0.518613607188703,0.537629350893697,0.198611986119861,0.980866851804097,0.294260055541229,1,1,0.297917979179792
"Domination","Income","D","ext_grp",0.00150626359145496,0,0.00418917325863058,7.39939491719995,0.72921930245543,-0.00829219077858364,0.0113047179614936,0.00406533966634719,65,0.712204556733408,TRUE,1144,197,66,11,0.095662676714219,0.346153846153846,0.120629370629371,-0.000442482845342186,0.0044997692500711,0.72769727697277,1,0.773034706985812,1,1,0.764657646576466
"Domination","Income","Db","freqgrp_grp",0.505244755244755,0.5,0.0175306357671474,7.39939491719995,0.773034706985812,0.464240689755635,0.546248820733876,0.0161377796345271,65,0.746225907643511,TRUE,1144,197,66,11,NA,NA,NA,0.496204933586338,0.514008620689655,0.764657646576466,1,0.773034706985812,1,1,0.764657646576466
"Domination","Gender, education, and income","D","ext_grp",0.0128518499469044,0,0.00593830842749608,7.50415982653461,0.0645976792508518,-0.00100102047783196,0.0267047203716408,0.00594461325537314,65,0.0343104566475967,TRUE,983,173,66,11,0.0945687055714464,0.34587995930824,0.120040691759919,0.00920991927661815,0.0159097411494637,0.041370413704137,0.500526301901618,0.129195358501704,0.775172151010221,0.330963309633096,0.0992889928899289
"Domination","Gender, education, and income","Db","freqgrp_grp",0.51881993896236,0.5,0.0152819092069643,7.50415982653461,0.255323694409537,0.483170340988224,0.554469536936497,0.0206120695005035,65,0.364588275926651,TRUE,983,173,66,11,NA,NA,NA,0.510514018691589,0.527061855670103,0.23990239902399,1,0.34043159254605,1,1,0.31986986536532
