"pollname","pollnum","ngroups","nindices","homofreq","homoex","polarfreq","polarex"
"UK EU","1","16","4","0.328125","-0.060969230468612","0.209677419354839","-0.193734970248846"
"UK Health","2","15","11","0.481481481481481","0.00267021276960039","0.37593984962406","-0.0278135038060127"
"UK Monarchy","3","15","4","0.566666666666667","0.0213214982427488","0.55","0.00292853339770723"
"UK General Election","4","15","4","0.65","0.0182136054509316","0.383333333333333","-0.034345648458641"
"Australia Republic Referendum","5","24","5","0.645833333333333","0.0258454304977542","0.468085106382979","-0.110292968703873"
"UK Crime","6","20","5","0.52","-6.75536022110539e-05","0.43","-0.0100869273702585"
"Tomorrow's Europe (EU)","7","18","7","0.738095238095238","0.021943787410902","0.379032258064516","-0.0433189288097581"
"Central Power & Light","8","16","7","0.666666666666667","0.0205659983412845","0.59375","0.0225466394632719"
"Zeguo Township","9","16","9","0.569444444444444","0.0183114141011871","0.426573426573427","-0.00823171022402643"
"Bulgarian National","10","17","5","0.514705882352941","0.0161525447159814","0.368686868686869","-0.0489220307625597"
"Europolis","11","25","2","0.56","0.00581462308121044","0.428571428571429","-0.0197309858009138"
"New Haven, CT","12","16","3","0.53125","-0.00926790688375734","0.65625","0.0299287817659724"
"National Issues Convention 2","13","24","9","0.694444444444444","0.0224577366034438","0.69047619047619","0.021046686061933"
"By the People: National","14","15","9","0.548148148148148","0.00659362322849623","0.488549618320611","-0.012042602214522"
"By the People 2004 US General Election","15","15","6","0.6","0.0146125822582268","0.382022471910112","-0.0247704406905136"
"By the People 2004 US Presidential Primaries","16","16","3","0.479166666666667","0.00302613429639607","0.595744680851064","0.00945105159517766"
"San Mateo, CA","17","26","7","0.663461538461538","0.0303633424807464","0.465346534653465","-0.0120985865262155"
"By the People: Health and Education","18","30","11","0.53030303030303","0.00364346633549084","0.426332288401254","-0.0175138094369662"
"West Texas Utilities","19","14","7","0.654761904761905","0.0147660774024558","0.621951219512195","0.0124665456613051"
"National Issues Convention","20","30","9","0.640740740740741","0.0219544521758525","0.22962962962963","-0.0533940093132563"
"Southwestern Electric Power","21","14","7","0.666666666666667","0.02849523341234","0.634146341463415","0.0367914950533059"
"Mean","11","18.9047619047619","6.38095238095238","0.583331516820662","0.0107831938976414","0.466861841229018","-0.0229113042556043"
"Weighted Mean (By Indices and Groups)","12.3311873718484","20.9762093414808","7.56926320904579","0.595039879583837","0.0133476273460029","0.453935286250016","-0.0220946828923819"
