"pollname","pollnum","ngroups","nindices","n_pairs","n_dis","n_group","freqdis","extdis","freqgrp","extgrp"
"UK EU",1,16,4,64,62,62,0.451612903225806,-0.000924539170506918,0.467741935483871,-0.0137515301788309
"UK Health",2,15,9,135,133,133,0.62406015037594,0.060906656522258,0.586466165413534,0.0164975686324094
"UK Monarchy",3,15,4,60,60,60,0.633333333333333,0.0311913242279303,0.55,0.00463123845767895
"UK General Election",4,15,4,60,60,60,0.633333333333333,0.0278748326170733,0.466666666666667,-0.00598550782745886
"Australia Republic Referendum",5,24,2,48,47,47,0.319148936170213,-0.0785875472045685,0.319148936170213,-0.112672703330948
"UK Crime",6,20,5,100,99,99,0.535353535353535,0.0067883292296868,0.474747474747475,-0.0018550657935645
"Tomorrow's Europe (EU)",7,18,7,126,126,126,0.531746031746032,0.0221304872743365,0.476190476190476,-0.0165024119036107
"Central Power & Light",8,16,6,96,96,96,0.645833333333333,0.0713710147040054,0.572916666666667,0.0198165454578215
"Zeguo Township",9,16,9,144,144,144,0.611111111111111,0.0498019654165465,0.506944444444444,0.0182661548803592
"Bulgarian National",10,17,12,204,197,197,0.609137055837564,0.0587898008123832,0.461928934010152,-0.0182454564237361
"Europolis",11,25,2,50,48,48,0.583333333333333,0.0392634304353054,0.5625,0.00413896611966464
"New Haven, CT",12,16,2,32,32,32,0.40625,-0.0248611106537282,0.40625,-0.0438507585436611
"National Issues Convention 2",13,24,9,216,209,209,0.598086124401914,0.0330961809862608,0.526315789473684,-1.56599969063017e-05
"By the People: National",14,15,9,135,133,133,0.616541353383459,0.0244784210452142,0.526315789473684,0.00429399314267466
"By the People 2004 US General Election",15,15,6,90,90,90,0.555555555555556,0.0107146038452524,0.488888888888889,-0.0136167709648615
"By the People 2004 US Presidential Primaries",16,16,3,48,48,48,0.645833333333333,0.0462748817048371,0.625,0.0269443816749503
"San Mateo, CA",17,26,4,100,99,99,0.595959595959596,0.0933434859588348,0.515151515151515,0.00057027168665577
"By the People: Health and Education",18,30,11,330,324,324,0.533950617283951,0.0227924950054913,0.459876543209877,-0.00302413006072746
"West Texas Utilities",19,14,6,84,84,84,0.583333333333333,0.0481996248625713,0.535714285714286,0.00655641501482577
"National Issues Convention",20,30,9,270,265,264,0.581132075471698,0.0488545835714474,0.465909090909091,0.00352094939732
"Southwestern Electric Power",21,14,6,84,81,81,0.604938271604938,0.0529716413314297,0.54320987654321,0.0135606046259382
"Pair Mean (Actual Pairs)",NA,396,129,2476,2437,2436,0.576528518670496,0.0366507324375658,0.498768472906404,-0.00175429996191234
