"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK EU","1","16","4","0.515625","0.0331068121693122","0.46875","0.0144792097033505"
"UK Health","2","15","11","0.582089552238806","0.0466949298455828","0.443609022556391","0.00260057066931791"
"UK Monarchy","3","15","4","0.533333333333333","0.00516485588846819","0.516666666666667","-0.00648680438114148"
"UK General Election","4","15","4","0.5","0.0218399710462443","0.416666666666667","-0.00970503396362284"
"Australia Republic Referendum","5","24","5","0.333333333333333","-0.0811350734527818","0.25","-0.121219584345733"
"UK Crime","6","20","5","0.44","-0.000932028190063884","0.360824742268041","-0.0188904505524224"
"Tomorrow's Europe (EU)","7","18","7","0.6","0.0364561396936397","0.46031746031746","-0.00426512256602955"
"Central Power & Light","8","16","7","0.635416666666667","0.0414811816253245","0.479166666666667","0.0022376405461315"
"Zeguo Township","9","16","9","0.537313432835821","0.0857794366676861","0.483333333333333","-0.00349223892927736"
"Bulgarian National","10","17","5","0.502645502645503","0.102443415527043","0.431578947368421","-0.0130771297149852"
"Europolis","11","25","2","0.448979591836735","0.0198007774538387","0.26","-0.0318968337218337"
"New Haven, CT","12","16","3","0.59375","0.036915922945454","0.5","0.00439917970072337"
"National Issues Convention 2","13","24","9","0.479591836734694","-0.00840327860749959","0.446700507614213","-0.0176079212216011"
"By the People: National","14","15","9","0.474074074074074","0.0155370542432522","0.462686567164179","-0.0040572091883183"
"By the People 2004 US General Election","15","15","6","0.533333333333333","0.00948564148879516","0.411111111111111","-0.00659207347979555"
"By the People 2004 US Presidential Primaries","16","16","3","0.645833333333333","0.0236517407020699","0.541666666666667","0.0146352275623351"
"San Mateo, CA","17","26","7","0.606060606060606","0.0449922497741578","0.46","-0.0193571199183021"
"By the People: Health and Education","18","30","11","0.480122324159021","0.0166136230518947","0.46583850931677","-0.00692861462959443"
"West Texas Utilities","19","14","7","0.542168674698795","0.00521560761915036","0.493975903614458","-0.0174115243115836"
"National Issues Convention","20","30","9","0.566037735849057","0.0373363010155513","0.503787878787879","-0.00214901303646682"
"Southwestern Electric Power","21","14","7","0.481927710843373","-0.00189945745166629","0.409638554216867","-0.0297308635636316"
"Mean","11","18.9047619047619","6.38095238095238","0.52531600199888","0.0233402772883549","0.441253295444561","-0.0130721766353562"
"Weighted Mean (By Indices and Groups)","12.3311873718484","20.9762093414808","7.56926320904579","0.523492966688196","0.0234563360177736","0.447316817958437","-0.0132877737876087"
