"pollname","pollnum","ngroups","nindices","n_pairs","n_dis","n_group","freqdis","extdis","freqgrp","extgrp"
"UK Health",2,15,9,135,132,132,0.606060606060606,0.0612040897339193,0.515151515151515,0.00673254120885304
"UK General Election",4,15,4,60,60,60,0.466666666666667,-0.00922852988749176,0.55,-0.00527107892968828
"Australia Republic Referendum",5,24,2,48,47,47,0.468085106382979,0.0500218113250028,0.468085106382979,0.0040024174997579
"Central Power & Light",8,16,6,96,96,96,0.614583333333333,0.0452020743167719,0.53125,-0.00418402600283082
"Bulgarian National",10,17,12,204,198,198,0.656565656565657,0.115664716041337,0.51010101010101,0.0108169410117079
"New Haven, CT",12,16,2,30,28,28,0.678571428571429,0.0968749994678157,0.714285714285714,0.0549504125577946
"National Issues Convention 2",13,24,9,216,216,216,0.541666666666667,0.02379241571469,0.467592592592593,-0.00301298403790446
"By the People: National",14,15,9,135,133,133,0.593984962406015,0.0357775762754835,0.533834586466165,0.0083614393012335
"By the People 2004 US General Election",15,15,6,90,90,90,0.522222222222222,0.0251852178651017,0.611111111111111,0.0139431736187932
"By the People 2004 US Presidential Primaries",16,16,3,48,48,48,0.5,-0.00374581644339772,0.333333333333333,-0.0216591255923783
"San Mateo, CA",17,26,4,100,96,96,0.458333333333333,0.0440214379338877,0.416666666666667,-0.031172839848438
"Pair Mean (Actual Pairs)",NA,197,66,1162,1144,1144,0.567307692307692,0.0489862534780054,0.505244755244755,0.00150626359145495
