"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK Health","2","15","11","-0.00673254120885303","0.0366115976167282","-0.0233308409711384","0.0467944323997976"
"UK General Election","4","15","4","0.00527107892968828","0.0033265872548024","0.020420031452923","0.00560220618445677"
"Australia Republic Referendum","5","24","5","-0.0040024174997579","0.0403394372795415","-0.0116459877211221","0.0217298339746589"
"Central Power & Light","8","16","7","0.004228068381808","0.0435231640715263","0.00353639616695547","0.0792281666598427"
"Bulgarian National","10","17","5","-0.0133414949046235","0.0246815154407162","-0.0204329283878825","0.023295360037861"
"New Haven, CT","12","16","3","-0.0530555707454569","-0.00695039680552861","-0.140486603004401","-0.0797700602261723"
"National Issues Convention 2","13","24","9","0.00302699791715053","0.0291824825192216","0.015299974651027","0.0452902920770867"
"By the People: National","14","15","9","-0.00829904050047805","0.00699813700621692","-0.0130177649296681","0.00279418045437628"
"By the People 2004 US General Election","15","15","6","-0.0139431736187932","0.000394589046202397","-0.0172771272376583","-0.0121109587491353"
"By the People 2004 US Presidential Primaries","16","16","3","0.0216591255923784","0.0310722744355358","0.0556116531984331","0.05525026787061"
"San Mateo, CA","17","26","7","0.0305366594433678","0.106944444514558","0.0485595308647008","0.0975916238943381"
"12",NA,NA,NA,NA,NA,NA,NA
