"pollnum","pollname","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"2","UK Health","15","11","0.522388059701492","0.0366115976167282","0.462121212121212","-0.00673254120885303","0.043312014931941","0.0119390996047795","0.0435596631665345","0.00849997370707307"
"4","UK General Election","15","4","0.483333333333333","0.0033265872548024","0.45","0.00527107892968828","0.110134600503623","0.02761195293044","0.087665192563036","0.0148708319365046"
"5","Australia Republic Referendum","24","5","0.479166666666667","0.0403394372795415","0.51063829787234","-0.0040024174997579","0.07286915878889","0.0394424395115222","0.073704289683782","0.0357702938902987"
"8","Central Power & Light","16","7","0.627659574468085","0.0435231640715263","0.463157894736842","0.004228068381808","0.0604164373589052","0.0170462593853841","0.0766374751534938","0.010329385912777"
"10","Bulgarian National","17","5","0.538071065989848","0.0246815154407162","0.472636815920398","-0.0133414949046235","0.0397571287925664","0.0144685991587576","0.0353023551733468","0.0124615228875517"
"12","New Haven, CT","16","3","0.366666666666667","-0.00695039680552861","0.241379310344828","-0.0530555707454569","0.0999999951854119","0.0406251883968865","0.080869237238335","0.0275234353214678"
"13","National Issues Convention 2","24","9","0.566037735849057","0.0291824825192216","0.530232558139535","0.00302699791715053","0.0341198763105892","0.010241799835179","0.0341167588678416","0.00837847055982881"
"14","By the People: National","15","9","0.514925373134328","0.00699813700621692","0.455223880597015","-0.00829904050047805","0.0496898356740906","0.00753272546466275","0.0456392472282227","0.00885764078415966"
"15","By the People 2004 US General Election","15","6","0.433333333333333","0.000394589046202397","0.388888888888889","-0.0139431736187932","0.0525266711872881","0.0112541602596045","0.0528216567389733","0.00796491778110753"
"16","By the People 2004 US Presidential Primaries","16","3","0.625","0.0310722744355358","0.666666666666667","0.0216591255923784","0.0721687824216338","0.0196001513252618","0.0687614164172529","0.0110325035777748"
"17","San Mateo, CA","26","7","0.5","0.106944444514558","0.561224489795918","0.0305366594433678","0.0507673082566809","0.0314737330768302","0.0503852745884438","0.0170861373297601"
NA,"Weighted Mean (By Indices and Groups)","19.1868612771614","7.15676450395532","0.521260679416263","0.0358102223026536","0.485242721250672","2.64509664119749e-05","0.0172011238789987","0.00703241389314266","0.0171033313643713","0.00505070071925905"
NA,"Mean","18.0909090909091","6.27272727272727","0.514234709922074","0.0287385302163201","0.472924546825786","-0.00315020983759723","0.015778099636719","0.00420855447505904","0.0153036085192519","0.0033209643244729"
NA,NA,NA,NA,NA,NA,NA,NA,"0.203102087536444","2.18742806312733e-07","0.42486069243271","0.95069210183182"
"","Precision Wtd Mean","","","0.528621785763792","0.020264433261072","0.48401251302888","-0.00208106862186555","0.015778099636719","0.00420855447505904","0.015303608519252","0.0033209643244729"
