"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK Health","2","15","11","0.462264150943396","0.0934781184486373","0.519230769230769","0.0129932112747264"
"UK General Election","4","15","4","0.6","0.081812119854219","0.446428571428571","-0.0116819261434767"
"Australia Republic Referendum","5","24","5","0.41304347826087","0.0238526570048309","0.333333333333333","-0.0887658714742048"
"Central Power & Light","8","16","7","0.633333333333333","0.068724956681828","0.438202247191011","-0.00536752540448578"
"Bulgarian National","10","17","5","0.484615384615385","0.182580128598672","0.412698412698413","-0.03561957375414"
"New Haven, CT","12","16","3","0.347826086956522","0.048641304175059","0.375","-0.0205150647914936"
"National Issues Convention 2","13","24","9","0.573529411764706","0.0473404265285829","0.509708737864078","-0.00680704732480968"
"By the People: National","14","15","9","0.492063492063492","0.0152544203918999","0.456","-0.0131683064678313"
"By the People 2004 US General Election","15","15","6","0.422222222222222","0.0141844000150918","0.488888888888889","-0.00680096757898722"
"By the People 2004 US Presidential Primaries","16","16","3","0.6","0.0391371602123534","0.533333333333333","0.0136514792595581"
"San Mateo, CA","17","26","7","0.421052631578947","0.101388888165616","0.513513513513513","-0.0112407055158042"
"12",NA,NA,NA,NA,NA,NA,NA
"Mean","10.5454545454545","18.0909090909091","6.27272727272727","0.495450017430807","0.0651267800069809","0.456939800680174","-0.0157565725382681"
"Weighted Mean (By Indices and Groups)","10.6212518421018","19.1868612771614","7.15676450395532","0.49518819234807","0.0655008786732558","0.466494157579423","-0.0151775315430035"
