"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK Health","2","15","11","0.446601941747573","-0.00397438810515268","0.447619047619048","-0.0135677264787034"
"UK General Election","4","15","4","0.625","0.0231712368216521","0.553571428571429","0.0116819261434767"
"Australia Republic Referendum","5","24","5","0.717391304347826","0.110219963209094","0.644444444444444","0.0887658714742048"
"Central Power & Light","8","16","7","0.595505617977528","0.0203829011334432","0.561797752808989","0.00536752540448578"
"Bulgarian National","10","17","5","0.5546875","0.0443521309941429","0.569230769230769","0.0332196984501242"
"New Haven, CT","12","16","3","0.541666666666667","0.0471360356591287","0.541666666666667","0.0205150647914936"
"National Issues Convention 2","13","24","9","0.527093596059113","0.019443026789709","0.490291262135922","0.00680704732480968"
"By the People: National","14","15","9","0.528","0.0256586527321218","0.52","0.0131683064678313"
"By the People 2004 US General Election","15","15","6","0.533333333333333","0.0131185831995813","0.511111111111111","0.00680096757898722"
"By the People 2004 US Presidential Primaries","16","16","3","0.4","-0.0100772526088914","0.466666666666667","-0.0136514792595581"
"San Mateo, CA","17","26","7","0.539473684210526","0.0452729045716873","0.466666666666667","0.00823368673176362"
"12",NA,NA,NA,NA,NA,NA,NA
"Mean","10.5454545454545","18.0909090909091","6.27272727272727","0.54625033130387","0.0304276176724106","0.524824165083792","0.0152128080571741"
"Weighted Mean (By Indices and Groups)","10.6212518421018","19.1868612771614","7.15676450395532","0.54538898923632","0.0307966741806296","0.517071192513862","0.0145170866484605"
