"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK Health","2","15","11","-0.0135677264787034","-0.00397438810515268","-0.0121994109495376","0.000135542527547587"
"UK General Election","4","15","4","0.0116819261434767","0.0231712368216521","0.0111987604435398","0.0234957233425472"
"Australia Republic Referendum","5","24","5","0.0887658714742048","0.110219963209094","0.148381170593722","0.17358873122993"
"Central Power & Light","8","16","7","0.00536752540448578","0.0203829011334432","0.012274726017645","0.0389781152624448"
"Bulgarian National","10","17","5","0.0332196984501242","0.0443521309941429","0.0618586776790127","0.0666575088820003"
"New Haven, CT","12","16","3","0.0205150647914936","0.0471360356591287","0.0904398723675592","0.115668877239328"
"National Issues Convention 2","13","24","9","0.00680704732480968","0.019443026789709","0.0256789345176445","0.0418004434618284"
"By the People: National","14","15","9","0.0131683064678313","0.0256586527321218","0.0246660151084431","0.0395374332866952"
"By the People 2004 US General Election","15","15","6","0.00680096757898722","0.0131185831995813","0.00541733110276882","0.0032809540414277"
"By the People 2004 US Presidential Primaries","16","16","3","-0.0136514792595581","-0.0100772526088914","-0.0426348800721702","-0.0498105961123762"
"San Mateo, CA","17","26","7","0.00823368673176362","0.0452729045716873","0.0286024710136552","0.0753725795912397"
"12",NA,NA,NA,NA,NA,NA,NA
