"pollnum","pollname","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"2","UK Health","15","11","0.446601941747573","-0.00397438810515268","0.447619047619048","-0.0135677264787034","0.0492242415345893","0.0111242717497344","0.0548935735706823","0.0102897752495787"
"4","UK General Election","15","4","0.625","0.0231712368216521","0.553571428571429","0.0116819261434767","0.0736268861112154","0.0202381328912578","0.0791912779152201","0.019654558695276"
"5","Australia Republic Referendum","24","5","0.717391304347826","0.110219963209094","0.644444444444444","0.0887658714742048","0.0671219488516487","0.0564744032519091","0.0721639236343101","0.0536809103862962"
"8","Central Power & Light","16","7","0.595505617977528","0.0203829011334432","0.561797752808989","0.00536752540448578","0.0523188082092867","0.0108295674302359","0.052891509645577","0.0106160276119525"
"10","Bulgarian National","17","5","0.5546875","0.0443521309941429","0.569230769230769","0.0332196984501242","0.0583524444749627","0.0234134361313341","0.0618702648510969","0.0265127944547817"
"12","New Haven, CT","16","3","0.541666666666667","0.0471360356591287","0.541666666666667","0.0205150647914936","0.124999999957437","0.0265845109610799","0.103894572166229","0.0280977372192351"
"13","National Issues Convention 2","24","9","0.527093596059113","0.019443026789709","0.490291262135922","0.00680704732480968","0.0457421340250334","0.00862380863621464","0.0534635293824838","0.00834282584363206"
"14","By the People: National","15","9","0.528","0.0256586527321218","0.52","0.0131683064678313","0.044830864943841","0.00970090722460699","0.0448653900663579","0.00829490402239302"
"15","By the People 2004 US General Election","15","6","0.533333333333333","0.0131185831995813","0.511111111111111","0.00680096757898722","0.0570899218836504","0.00893594633026567","0.0529868059907345","0.00780947105796109"
"16","By the People 2004 US Presidential Primaries","16","3","0.4","-0.0100772526088914","0.466666666666667","-0.0136514792595581","0.0738548945875997","0.0137076223229973","0.101835020142881","0.0172407555861934"
"17","San Mateo, CA","26","7","0.539473684210526","0.0452729045716873","0.466666666666667","0.00823368673176362","0.0724680335794016","0.0223968870095071","0.0579945114934468","0.0211182914383777"
NA,"Weighted Mean (By Indices and Groups)","19.1868612771614","7.15676450395532","0.54538898923632","0.0307966741806296","0.517071192513862","0.0145170866484605","0.0193026611810115","0.0071244394578848","0.0193488974725577","0.00684635819518891"
NA,"Mean","18.0909090909091","6.27272727272727","0.54625033130387","0.0304276176724106","0.524824165083792","0.0152128080571741","0.0176826087634236","0.00387745650190531","0.0182840723131954","0.00365521534481908"
NA,NA,NA,NA,NA,NA,NA,NA,"0.018903872217807","1.50919526810123e-05","0.39742810949466","0.0347495259594021"
"","Precision Wtd Mean","","","0.540392065228547","0.0167698687072883","0.520160097629758","0.00570503086771473","0.0176826087634236","0.00387745650190531","0.0182840723131954","0.00365521534481908"
