"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK Health","2","15","11","0.0129932112747264","0.0934781184486373","0.0100864965658884","0.096409216614447"
"UK General Election","4","15","4","-0.0116819261434767","0.081812119854219","-0.0111987604435398","0.111828287140906"
"Australia Republic Referendum","5","24","5","-0.0887658714742048","0.0238526570048309","-0.148381170593722","-0.0517743570922866"
"Central Power & Light","8","16","7","-0.00536752540448578","0.068724956681828","-0.012274726017645","0.0951506939756598"
"Bulgarian National","10","17","5","-0.03561957375414","0.182580128598672","-0.0700963064964194","0.168381245948134"
"New Haven, CT","12","16","3","-0.0205150647914936","0.048641304175059","-0.0904398723675592","-0.0736298315542785"
"National Issues Convention 2","13","24","9","-0.00680704732480968","0.0473404265285829","-0.0256789345176445","0.0224127165078017"
"By the People: National","14","15","9","-0.0131683064678313","0.0152544203918999","-0.0246660151084431","0.00267395073886776"
"By the People 2004 US General Election","15","15","6","-0.00680096757898722","0.0141844000150918","-0.00541733110276882","-0.0238912117774745"
"By the People 2004 US Presidential Primaries","16","16","3","0.0136514792595581","0.0391371602123534","0.0426348800721702","0.049503949135389"
"San Mateo, CA","17","26","7","-0.0112407055158042","0.101388888165616","-0.0346981227432135","0.0579350434761116"
"12",NA,NA,NA,NA,NA,NA,NA
