"pollnum","pollname","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"2","UK Health","15","11","0.462264150943396","0.0934781184486373","0.519230769230769","0.0129932112747264","0.0486558375782175","0.0371174353655177","0.0579441649480999","0.0101840556936672"
"4","UK General Election","15","4","0.6","0.081812119854219","0.446428571428571","-0.0116819261434767","0.104460748396131","0.032125799152924","0.0791912779151879","0.019654558695276"
"5","Australia Republic Referendum","24","5","0.41304347826087","0.0238526570048309","0.333333333333333","-0.0887658714742048","0.0733997522440614","0.0447153017125521","0.0740952385468374","0.0536809103862962"
"8","Central Power & Light","16","7","0.633333333333333","0.068724956681828","0.438202247191011","-0.00536752540448578","0.0510807052803216","0.0192976278409663","0.052891509645577","0.0106160276119525"
"10","Bulgarian National","17","5","0.484615384615385","0.182580128598672","0.412698412698413","-0.03561957375414","0.0470107068051001","0.0443330469767645","0.0666600765338085","0.0298576131525555"
"12","New Haven, CT","16","3","0.347826086956522","0.048641304175059","0.375","-0.0205150647914936","0.159069197693629","0.0483263918101512","0.125000000000201","0.0280977372192351"
"13","National Issues Convention 2","24","9","0.573529411764706","0.0473404265285829","0.509708737864078","-0.00680704732480968","0.0500724704840853","0.0131170326672093","0.0534635293767078","0.00834282584363206"
"14","By the People: National","15","9","0.492063492063492","0.0152544203918999","0.456","-0.0131683064678313","0.0667563645368087","0.0110192243034404","0.0501153396179312","0.00829490402239302"
"15","By the People 2004 US General Election","15","6","0.422222222222222","0.0141844000150918","0.488888888888889","-0.00680096757898722","0.0523547339954065","0.0141526243257241","0.0529868059907345","0.00780947105796109"
"16","By the People 2004 US Presidential Primaries","16","3","0.6","0.0391371602123534","0.533333333333333","0.0136514792595581","0.0738548945875997","0.0215708486016097","0.101835020144019","0.0172407555861934"
"17","San Mateo, CA","26","7","0.421052631578947","0.101388888165616","0.513513513513513","-0.0112407055158042","0.0832179021153634","0.0526596458453018","0.0584991962188687","0.0211875206705847"
NA,"Weighted Mean (By Indices and Groups)","19.1868612771614","7.15676450395532","0.49518819234807","0.0655008786732558","0.466494157579423","-0.0151775315430035","0.0217274639177169","0.0111885455140207","0.0199892041622164","0.00691037459847782"
NA,"Mean","18.0909090909091","6.27272727272727","0.495450017430807","0.0651267800069809","0.456939800680174","-0.0157565725382681","0.0185993050603811","0.00604483641578132","0.0189702508526399","0.00365811007634254"
NA,NA,NA,NA,NA,NA,NA,NA,"0.823888527401992","4.7048404061556e-09","0.102430486336759","0.0286114341660711"
"","Precision Wtd Mean","","","0.507372780625784","0.038351934645057","0.466234722299907","-0.00574270445448858","0.0185993050603811","0.00604483641578132","0.0189702508526399","0.00365811007634254"
