"pollname","pollnum","ngroups","nindices","n_pairs","homofreq","homoex","polarfreq","polarex"
"UK EU",1,16,4,64,0.328125,-0.13444336560192,0.209677419354839,-0.28619472241554
"UK Health",2,15,9,135,0.481481481481481,0.0201559366986397,0.37593984962406,0.0257907889448943
"UK Monarchy",3,15,4,60,0.566666666666667,0.0503958628667875,0.55,0.0412247603205551
"UK General Election",4,15,4,60,0.65,0.0419817099951477,0.383333333333333,-0.0114130054439327
"Australia Republic Referendum",5,24,2,48,0.645833333333333,0.0918096235880455,0.468085106382979,-0.0958206994244205
"UK Crime",6,20,5,100,0.52,0.0384428399164563,0.43,0.0166940490473495
"Tomorrow's Europe (EU)",7,18,7,126,0.738095238095238,0.0673443767748844,0.379032258064516,-0.0397322831082634
"Central Power & Light",8,16,6,96,0.666666666666667,0.0832912932266422,0.59375,0.122454264513342
"Zeguo Township",9,16,9,144,0.569444444444444,0.0646396589793136,0.426573426573427,0.0428908113290599
"Bulgarian National",10,17,12,204,0.514705882352941,-0.0371137283511914,0.368686868686869,-0.00461703697325921
"Europolis",11,25,2,50,0.56,-0.00555055841359252,0.428571428571429,0.00912749260774141
"New Haven, CT",12,16,2,32,0.53125,0.0166329253515483,0.65625,0.165418768903617
"National Issues Convention 2",13,24,9,216,0.694444444444444,0.0977500451888071,0.69047619047619,0.114534019900541
"By the People: National",14,15,9,135,0.548148148148148,0.0212199632249404,0.488549618320611,0.0118403524234316
"By the People 2004 US General Election",15,15,6,90,0.6,-0.000816684787669499,0.382022471910112,-0.0256663123810803
"By the People 2004 US Presidential Primaries",16,16,3,48,0.479166666666667,0.00427588241699647,0.595744680851064,0.0430425496245485
"San Mateo, CA",17,26,4,104,0.663461538461538,0.0385572163262121,0.465346534653465,0.0529180357127767
"By the People: Health and Education",18,30,11,330,0.53030303030303,-0.0622360040922966,0.423197492163009,0.00366887273403909
"West Texas Utilities",19,14,6,84,0.654761904761905,0.0692112668373367,0.621951219512195,0.107027933362687
"National Issues Convention",20,30,9,270,0.614814814814815,0.0343744541381736,0.184210526315789,-0.0540521706957831
"Southwestern Electric Power",21,14,6,84,0.666666666666667,0.109391191103791,0.634146341463415,0.167961196777538
"Pair Mean (Actual Pairs)",NA,397,129,2480,0.585887096774194,0.0235856811959741,0.439736733854381,0.0174650587605032
