"pollname","pollnum","ngroups","nindices","homofreq","homoex","polarfreq","polarex","polarfreq_se","homofreq_se","polarex_se","homoex_se"
"UK EU",1,16,4,0.328125,-0.060969230468612,0.209677419354839,-0.193734970248846,0.147716369663893,0.173759406467447,0.0985690464836128,0.0496175716027824
"UK Health",2,15,11,0.481481481481481,0.00267021276960039,0.37593984962406,-0.0278135038060126,0.0722110997446659,0.054180514283173,0.0163025144016156,0.0108379899102316
"UK Monarchy",3,15,4,0.566666666666667,0.0213214982427488,0.55,0.00292853339770723,0.0833333333537769,0.117062820090164,0.0144721416816725,0.0174156888358944
"UK General Election",4,15,4,0.65,0.0182136054509316,0.383333333333333,-0.034345648458641,0.161875588417701,0.154859559947523,0.0319657395294453,0.0251380962655342
"Australia Republic Referendum",5,24,5,0.645833333333333,0.0258454304977542,0.468085106382979,-0.110292968703873,0.415750668696719,0.0697613925552878,0.194996131987339,0.00999726692994751
"UK Crime",6,20,5,0.52,-6.75536022110562e-05,0.43,-0.0100869273702585,0.195959180501442,0.0930053777278669,0.0218508630269583,0.0079471721389497
"Tomorrow's Europe (EU)",7,18,7,0.738095238095238,0.021943787410902,0.379032258064516,-0.0433189288097581,0.0587111219119558,0.0465036926556367,0.0166217731443155,0.00955246393230815
"Central Power & Light",8,16,7,0.666666666666667,0.0205659983412845,0.59375,0.0225466394632719,0.123691065959908,0.0768295372680396,0.0239607519697883,0.00918549921945407
"Zeguo Township",9,16,9,0.569444444444444,0.0183114141011871,0.426573426573427,-0.00823171022402643,0.0859981858224045,0.0886607317459963,0.0196408223618393,0.0113905941580052
"Bulgarian National",10,17,5,0.519607843137255,0.0161525447159814,0.368686868686869,-0.0489220307625597,0.0652066234783094,0.0690083677407429,0.0197231888851233,0.0191858321368834
"Europolis",11,25,2,0.56,0.00581462308121043,0.428571428571429,-0.0197309858009138,0.274166535364403,0.0799999968513283,0.0434553760238289,0.0117448042580519
"New Haven, CT",12,16,3,0.53125,-0.00926790688375734,0.65625,0.0299287817659724,0.218750056581873,0.156250001405632,0.0785620710138171,0.0174980495782328
"National Issues Convention 2",13,24,9,0.694444444444444,0.0224577366034438,0.69047619047619,0.021046686061933,0.0844202892378196,0.0559879011575106,0.023145249462365,0.00521522965723162
"By the People: National",14,15,9,0.548148148148148,0.00659362322849623,0.488549618320611,-0.012042602214522,0.0904053276333444,0.0645762807332919,0.016413714784477,0.00559328490831751
"By the People 2004 US General Election",15,15,6,0.6,0.0146125822582267,0.382022471910112,-0.0247704406905136,0.0517951935802972,0.064406113714877,0.00750545517875331,0.00487719220985232
"By the People 2004 US Presidential Primaries",16,16,3,0.479166666666667,0.00302613429639607,0.595744680851064,0.00945105159517765,0.0946469214075544,0.0728691587888901,0.0103961874141359,0.00588395611471951
"San Mateo, CA",17,26,7,0.663461538461538,0.0303633424807464,0.465346534653465,-0.0120985865262155,0.0498797691794455,0.0465593186155004,0.0197328347889699,0.011364198459589
"By the People: Health and Education",18,30,11,0.53030303030303,0.00364346633549084,0.426332288401254,-0.0175138094369662,0.0347781345208809,0.0434507838491543,0.0061568146313954,0.00413004758593898
"West Texas Utilities",19,14,7,0.654761904761905,0.0147660774024558,0.621951219512195,0.0124665456613051,0.109439045778455,0.109756486712172,0.0251418504301324,0.0158822601086841
"National Issues Convention",20,30,9,0.644444444444444,0.0219544521758525,0.22962962962963,-0.0533940093132563,0.0256441086392676,0.0506135199791375,0.00883802649043426,0.00676877081776942
"Southwestern Electric Power",21,14,7,0.666666666666667,0.02849523341234,0.634146341463415,0.0367914950533059,0.143789392741015,0.113189184725656,0.0371119779662891,0.0176762174968315
"Mean",NA,NA,NA,0.583741310367711,0.0107831938976414,0.466861841229018,-0.0229113042556043,0.0143741067863672,0.0148965590003663,0.00316866197240231,0.00177219205444851
"Weighted Mean (By Indices and Groups)",NA,NA,NA,0.596127557776923,0.0134665618309829,0.45333577248218,-0.0220568092476903,0.0273271554073845,0.0165135242118426,0.0103001694795805,0.00256866276037021
"p-value of Weighted Mean",NA,NA,NA,NA,NA,NA,NA,0.0877080272236289,5.84471301872327e-09,0.0322415890262041,1.58299310402389e-07
"Precision Wtd Mean",NA,NA,NA,0.602253556691496,0.0120964242784769,0.379940003094341,-0.0193417925977299,0.0143741067863672,0.0148965590003663,0.00316866197240231,0.00177219205444851
