"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK EU",1,16,4,0.0133217948607425,0.0289901855233887,0.0298555386466758,0.0401224399572909
"UK Health",2,15,11,-0.0162531602082256,0.0122152955926104,-0.0334821538429757,0.019942960267648
"UK Monarchy",3,15,4,-0.00463123845767895,0.0203913764035693,-0.00259711085605057,0.0331962062338652
"UK General Election",4,15,4,0.00598550782745886,0.0335511328778035,-0.0147085563962596,0.0144125957499594
"Australia Republic Referendum",5,24,5,0.110325355344887,0.138796415293811,0.175864474918654,0.194366521922132
"UK Crime",6,20,5,0.00183651513562885,0.0109598109314627,0.0170786566129591,0.0205472965039422
"Tomorrow's Europe (EU)",7,18,7,0.0165024119036107,0.0656050919245364,0.0159317495204499,0.0852069198062182
"Central Power & Light",8,16,7,-0.0198165454578215,0.0252359202645889,-0.0500308438283955,0.027592109355546
"Zeguo Township",9,16,9,-0.0182661548803592,0.0524694077710891,-0.037896754291742,0.0637856646596144
"Bulgarian National",10,17,5,0.0176193868405687,0.095585598021666,0.00948010906308176,0.101124340216117
"Europolis",11,25,2,-0.00397340747487805,0.0388869047619048,-0.0181600433062259,0.0463177180162894
"New Haven, CT",12,16,3,0.0438507585436611,0.0503906253414849,0.0629745177756057,0.0787257834513678
"National Issues Convention 2",13,24,9,1.51524970065509e-05,0.0267584463365707,0.00504972907565761,0.0307310438781632
"By the People: National",14,15,9,-0.00423037842944984,0.0222686650679178,-0.00978505798481421,0.0236179786091294
"By the People 2004 US General Election",15,15,6,0.0136167709648615,0.0354295340050147,0.0238279776324753,0.0385435827045829
"By the People 2004 US Presidential Primaries",16,16,3,-0.0269443816749503,-0.00524077957327275,-0.0641708124090979,-0.0525628905654854
"San Mateo, CA",17,26,7,-0.000564568969789203,0.0644476318877529,-0.0106663433534338,0.0492686192682194
"By the People: Health and Education",18,30,11,0.00296914587780513,0.0259715188086867,-0.00277813014159039,0.0166830650004314
"West Texas Utilities",19,14,7,-0.00655641501482577,0.0221200040812782,-0.0340643503314882,-0.0099202980752505
"National Issues Convention",20,30,9,-0.00344270607737956,0.0375666052056383,-0.00775053737947605,0.0515878351256118
"Southwestern Electric Power",21,14,7,-0.0130762973178689,0.0196318050860284,-0.0821366272089283,-0.0577154887954987
"Mean",11,18.9047619047619,6.38095238095238,0.00515654980157159,0.0391443426482634,-0.00134116990880567,0.0388368572995188
"Weighted Mean (By Indices and Groups)",12.3929257977701,21.0722798923491,7.6243752402922,0.00372779439944977,0.0393129770615965,-0.00210590607767536,0.0401155040732304
