"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK EU",1,16,4,-0.0144792097033504,-0.00270088743721558,-0.0255603749116507,-0.0212680087765319
"UK Health",2,15,11,-0.00256204369643913,0.0396465192043896,0.0127603909094623,0.0737750943523014
"UK Monarchy",3,15,4,0.0064868043811415,0.014982594038418,0.0110496586854968,0.00902648250117581
"UK General Election",4,15,4,0.00970503396362283,0.0375444999077768,0.00928320921209589,0.037366359207422
"Australia Republic Referendum",5,24,5,0.121219584345733,0.156240668089626,0.198940533267254,0.22023442063846
"UK Crime",6,20,5,0.0183237370358497,0.0267382185109864,0.0348011415800143,0.0372205113881101
"Tomorrow's Europe (EU)",7,18,7,0.00426512256602955,0.0549357055532651,0.0112351106980427,0.0772824166853093
"Central Power & Light",8,16,7,-0.0022376405461315,0.0455022792803769,-0.0237932037844813,0.0528973273647748
"Zeguo Township",9,16,9,0.00310421238157989,0.0260560231104037,0.0282027350071759,0.0575139363014178
"Bulgarian National",10,17,5,0.0130086630672627,0.0366914002641719,0.0392243966177089,0.0664092175851658
"Europolis",11,25,2,0.0318968337218337,0.0630114357864358,0.0726469610678843,0.0992655901492368
"New Haven, CT",12,16,3,-0.00439917970072338,0.0581542966576914,0.0105084870528955,0.0884633948060266
"National Issues Convention 2",13,24,9,0.0175189923265425,0.0767669956786213,0.0382791709737362,0.108379285216775
"By the People: National",14,15,9,0.00325555084865175,0.0527639542129476,0.00209000844703734,0.0674848492825541
"By the People 2004 US General Election",15,15,6,0.00705504576978163,0.0407668579052252,0.0103467410240412,0.036257047178652
"By the People 2004 US Presidential Primaries",16,16,3,-0.0146352275623351,0.0048772816705849,-0.0363090857988835,-0.03310224992726
"San Mateo, CA",17,26,7,0.0170654531771296,0.149887765374549,0.0252445751950611,0.180926573547752
"By the People: Health and Education",18,30,11,0.00676064821433154,0.0344431169976781,0.0163041353074358,0.0386107792554229
"West Texas Utilities",19,14,7,0.0172042442602553,0.0672306440764136,0.0212155248525616,0.0871728916312542
"National Issues Convention",20,30,9,0.00085199205304456,0.051832010582239,0.00488534298990664,0.0742529538365816
"Southwestern Electric Power",21,14,7,0.0293769247116836,0.0883378099917216,0.0379696544680781,0.086850266785883
"Mean",11,18.9047619047619,6.38095238095238,0.0127993115054997,0.0535099614026813,0.0237773863267083,0.0688104351909754
"Weighted Mean (By Indices and Groups)",12.3929257977701,21.0722798923491,7.6243752402922,0.0128842848546848,0.0581577085620904,0.0246667623995975,0.0767055959946741
