"pollname","pollnum","ngroups","nindices","n_pairs","n_dis","n_group","freqdis","extdis","freqgrp","extgrp"
"UK EU",1,16,4,64,61,61,0.540983606557377,0.0347350160464914,0.491803278688525,0.0151913019838431
"UK Health",2,15,9,135,131,131,0.595419847328244,0.0476582573314444,0.450381679389313,0.00264027403831514
"UK Monarchy",3,15,4,60,59,59,0.542372881355932,0.0052523958187812,0.525423728813559,-0.00659675021810998
"UK General Election",4,15,4,60,60,60,0.5,0.0218399710462443,0.416666666666667,-0.00970503396362283
"Australia Republic Referendum",5,24,2,48,48,48,0.3125,-0.0811350734527818,0.25,-0.121219584345733
"UK Crime",6,20,5,100,100,100,0.43,-0.000932028190063888,0.35,-0.0183237370358497
"Tomorrow's Europe (EU)",7,18,7,126,125,125,0.608,0.036741853979354,0.464,-0.00429924354655779
"Central Power & Light",8,16,6,96,94,94,0.648936170212766,0.0423637599577782,0.48936170212766,0.00228524991945345
"Zeguo Township",9,16,9,135,134,134,0.544776119402985,0.0871475958716662,0.432835820895522,-0.00312737814562153
"Bulgarian National",10,17,12,192,188,188,0.515957446808511,0.101436908872045,0.436170212765957,-0.0132162481162084
"Europolis",11,25,2,50,50,50,0.46,0.0234047619047619,0.26,-0.0318968337218337
"New Haven, CT",12,16,2,32,31,31,0.612903225806452,0.0381067591695009,0.516129032258065,0.00454108872332734
"National Issues Convention 2",13,24,9,198,194,194,0.494845360824742,-0.00676508877553884,0.45360824742268,-0.0178802086631723
"By the People: National",14,15,9,135,132,132,0.484848484848485,0.0163411070633549,0.46969696969697,-0.00332954064066655
"By the People 2004 US General Election",15,15,6,90,88,88,0.534090909090909,0.00922772986241837,0.409090909090909,-0.00721538771909484
"By the People 2004 US Presidential Primaries",16,16,3,48,47,47,0.659574468085106,0.0241549692276459,0.553191489361702,0.0149466153828103
"San Mateo, CA",17,26,4,100,98,98,0.622448979591837,0.0481967384299154,0.469387755102041,-0.0174137277317649
"By the People: Health and Education",18,30,11,330,321,321,0.498442367601246,0.0175719353455018,0.467289719626168,-0.00695019909884549
"West Texas Utilities",19,14,6,84,82,82,0.548780487804878,0.00649872478523756,0.5,-0.01762385997392
"National Issues Convention",20,30,9,270,261,259,0.544061302681992,0.0407645834369853,0.451737451737452,-0.000888177043714415
"Southwestern Electric Power",21,14,6,84,83,83,0.493975903614458,-0.00141752974082292,0.409638554216867,-0.0297308635636316
"Pair Mean (Actual Pairs)",NA,392,129,2437,2387,2385,0.530791788856305,0.030112966708329,0.446540880503145,-0.0100425158300509
