"pollname","pollnum","ngroups","nindices","n_pairs","extgrp","extdis","extgrp_normed","extdis_normed"
"UK Health",2,15,9,135,0.00673254120885304,0.0612040897339193,0.0238610873568461,0.117398218721568
"UK General Election",4,15,4,60,-0.00527107892968828,-0.00922852988749176,-0.020420031452923,-0.0533791786328081
"Australia Republic Referendum",5,24,2,48,0.0040024174997579,0.0500218113250028,0.0118937746939119,0.0454016986273633
"Central Power & Light",8,16,6,96,-0.00418402600283082,0.0452020743167719,-0.00353639616695547,0.0917587428713356
"Bulgarian National",10,17,12,204,0.0108169410117079,0.115664716041337,0.0148547174636095,0.144621963551028
"New Haven, CT",12,16,2,30,0.0549504125577946,0.0968749994678157,0.150521360361858,0.224939088212614
"National Issues Convention 2",13,24,9,216,-0.00301298403790446,0.02379241571469,-0.015299974651027,0.0194033757948524
"By the People: National",14,15,9,135,0.0083614393012335,0.0357775762754835,0.0132135207932721,0.0421060198686435
"By the People 2004 US General Election",15,15,6,90,0.0139431736187932,0.0251852178651017,0.0172771272376583,0.0145501389336015
"By the People 2004 US Presidential Primaries",16,16,3,48,-0.0216591255923783,-0.00374581644339772,-0.0556116531984331,-0.0523459473771951
"San Mateo, CA",17,26,4,100,-0.031172839848438,0.0440214379338877,-0.0500770162042227,0.030773907588758
"Pair Mean (Actual Pairs)",NA,197,66,1162,0.00150626359145495,0.0489862534780054,0.00160017434753813,0.0609374200438172
