"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp","freqdis_se","extdis_se","freqgrp_se","extgrp_se"
"UK Health",2,15,11,0.592592592592593,0.0598439988509433,0.503703703703704,0.00658292918198963,0.0424463323835323,0.0127559245619596,0.0431922362581133,0.00831082276516226
"UK General Election",4,15,4,0.466666666666667,-0.00922852988749176,0.55,-0.00527107892968828,0.0720082299036036,0.0171451770730541,0.0876651880279532,0.0148708319365046
"Australia Republic Referendum",5,24,5,0.458333333333333,0.0489796902557319,0.458333333333333,0.0039190338018463,0.0726788167342538,0.0351667094690406,0.0726788167342538,0.0350172500009803
"Central Power & Light",8,16,7,0.614583333333333,0.0452020743167719,0.53125,-0.00418402600283082,0.0499337097109465,0.0138656925693274,0.0717163103864806,0.0102213167101117
"Bulgarian National",10,17,5,0.65,0.114508068880924,0.495098039215686,0.0104987956878342,0.0338114785302567,0.0205423885851401,0.0365337324756241,0.0120056063090677
"New Haven, CT",12,16,3,0.633333333333333,0.0904166661699613,0.666666666666667,0.0512870517206083,0.0894855453983996,0.0284180313966312,0.0875376219064817,0.0266489121474643
"National Issues Convention 2",13,24,9,0.541666666666667,0.02379241571469,0.467592592592593,-0.00301298403790446,0.0347222217518184,0.00893487958191924,0.0340280158135897,0.00833960291078662
"By the People: National",14,15,9,0.585185185185185,0.0352475381084393,0.525925925925926,0.00823756612640042,0.0425619376790141,0.0163610748370107,0.0431353169675057,0.0086289456045426
"By the People 2004 US General Election",15,15,6,0.522222222222222,0.0251852178651017,0.611111111111111,0.0139431736187932,0.0529475225507682,0.00983129446253469,0.0528216567391577,0.00796491778120954
"By the People 2004 US Presidential Primaries",16,16,3,0.5,-0.00374581644339772,0.333333333333333,-0.0216591255923783,0.0729324957489473,0.0152162801767416,0.0687614164172529,0.0110325035776408
"San Mateo, CA",17,26,7,0.444444444444444,0.0426874549661942,0.404040404040404,-0.0302282083378793,0.0501948834947362,0.0204131568518287,0.0495687273804262,0.0169154820259791
"Mean",NA,NA,NA,0.546275252525252,0.0429898889816244,0.504277737265705,0.00273755702152644,0.0146474879691515,0.00436466642798645,0.0152364165503043,0.00327885376661497
"Weighted Mean (By Indices and Groups)",NA,NA,NA,0.541752577319588,0.0428925421600276,0.492648531308325,-0.000554521495760118,0.0160467393285164,0.00584581168344602,0.0168066427625716,0.00496485416778174
"p-value of Weighted Mean",NA,NA,NA,NA,NA,NA,NA,0.0092699342075045,2.17926763765494e-13,0.661810793952715,0.911069698261217
"Precision Wtd Mean",NA,NA,NA,0.564010866012133,0.0337374049432015,0.494479648385693,0.00196939322950711,0.0146474879691515,0.00436466642798645,0.0152364165503043,0.00327885376661497
