"pollname","pollnum","ngroups","nindices","freqdis","extdis","freqgrp","extgrp"
"UK Health",2,15,11,0.471153846153846,0.086061030982906,0.5,0.0125119812275143
"UK General Election",4,15,4,0.607142857142857,0.0813035698962353,0.446428571428571,-0.0116819261434767
"Australia Republic Referendum",5,24,5,0.41304347826087,0.0238526570048309,0.326086956521739,-0.0868361786160699
"Central Power & Light",8,16,7,0.622222222222222,0.068724956681828,0.433333333333333,-0.00530788623332483
"Bulgarian National",10,17,5,0.467741935483871,0.147059812240543,0.393939393939394,-0.0340005022198609
"New Haven, CT",12,16,3,0.375,0.0507812495860789,0.375,-0.0205150647914936
"National Issues Convention 2",13,24,9,0.577669902912621,0.0468808107370432,0.507246376811594,-0.00677416303821639
"By the People: National",14,15,9,0.492063492063492,0.0152544203918999,0.452380952380952,-0.013063796099039
"By the People 2004 US General Election",15,15,6,0.422222222222222,0.0141844000150918,0.488888888888889,-0.00680096757898721
"By the People 2004 US Presidential Primaries",16,16,3,0.613636363636364,0.0400266411262705,0.533333333333333,0.0136514792595581
"San Mateo, CA",17,26,7,0.418918918918919,0.101876876671035,0.5,-0.0109448974759146
"Mean",10.5454545454545,18.0909090909091,6.27272727272727,0.498255930819753,0.0614551295757966,0.450603436967073,-0.0154329019735737
"Weighted Mean (By Indices and Groups)",10.6280729579699,19.2854877081681,7.23632038065028,0.496498164945095,0.0622525380786133,0.459691496311846,-0.0148308075057105
