"pollname","pollnum","ngroups","nindices","extgrp","extdis","extgrp_normed","extdis_normed"
"UK Health",2,15,11,-0.0126289156315098,0.00135292909971646,-0.0100864965658884,0.0266112377455977
"UK General Election",4,15,4,0.0116819261434767,0.0231712368216522,0.0111987604435398,0.0234957233425473
"Australia Republic Referendum",5,24,5,0.0868361786160699,0.110219963209094,0.148381170593722,0.17358873122993
"Central Power & Light",8,16,7,0.00530788623332483,0.0206564244541827,0.012274726017645,0.0456878822357193
"Bulgarian National",10,17,5,0.0350630179142316,0.0562373486410793,0.0700963064964194,0.0933299204699279
"New Haven, CT",12,16,3,0.0205150647914936,0.0471360356591287,0.0904398723675592,0.115668877239329
"National Issues Convention 2",13,24,9,0.00677416303821639,0.0213993842200436,0.0256789345176445,0.0482157088106049
"By the People: National",14,15,9,0.013063796099039,0.0274391396152002,0.0246660151084431,0.0418691467791288
"By the People 2004 US General Election",15,15,6,0.00680096757898721,0.0131185831995813,0.00541733110276881,0.0032809540414277
"By the People 2004 US Presidential Primaries",16,16,3,-0.0136514792595581,-0.0100772526088914,-0.0426348800721702,-0.0498105961123762
"San Mateo, CA",17,26,7,0.0110908294422601,0.0484691357704855,0.0346981227432135,0.0815627322872294
"Mean",10.5454545454545,18.0909090909091,6.27272727272727,0.0155321304514574,0.0326475389164793,0.0336481693411725,0.054863665279006
"Weighted Mean (By Indices and Groups)",10.6280729579699,19.2854877081681,7.23632038065028,0.0149081899602998,0.0333394329051446,0.0334021960307717,0.0587225693726277
