"construct","dimension","measure","published","fully_corrected","change","sign_changed","parity_changed"
"Homogenization",NA,"H",0.013,0.0128493544739435,-0.0001506455260565,FALSE,FALSE
"Homogenization",NA,"Hb",0.595,0.585887096774194,-0.00911290322580594,FALSE,FALSE
"Directional polarization",NA,"P",-0.022,-0.0222107255855015,-0.0002107255855015,FALSE,FALSE
"Directional polarization",NA,"Pb",0.454,0.439736733854381,-0.014263266145619,FALSE,FALSE
"Domination","Gender","D",0.008,0.00175429996191233,-0.00624570003808767,FALSE,FALSE
"Domination","Gender","Db",0.464,0.471264367816092,0.00726436781609197,FALSE,FALSE
"Domination","Education","D",-0.013,0.0100425158300509,0.0230425158300509,TRUE,FALSE
"Domination","Education","Db",0.447,0.523270440251572,0.076270440251572,FALSE,TRUE
"Domination","Income","D",0,0.00150626359145496,0.00150626359145496,FALSE,FALSE
"Domination","Income","Db",0.485,0.505244755244755,0.020244755244755,FALSE,TRUE
"Domination","Gender, education, and income","D",-0.015,0.0128518499469044,0.0278518499469044,TRUE,FALSE
"Domination","Gender, education, and income","Db",0.466,0.51881993896236,0.05281993896236,FALSE,TRUE
